Valmet Oyj;VALMT.HE
Kojamo Oyj;KOJAMO.HE
Outokumpu Oyj;OUT1V.HE
Elisa Oyj;ELISA.HE
Fortum Oyj;FORTUM.HE
Kemira Oyj;KEMIRA.HE
UPM-Kymmene Oyj;UPM.HE
Nokia Corporation;NOKIA.HE
Stora Enso Oyj;STERV.HE
TietoEVRY Oyj;TIETO.HE
Metso Outotec Oyj;MOCORP.HE
Nordea Bank Abp;NDA-FI.HE
Huhtamaki Oyj;HUH1V.HE
Kesko Oyj;KESKOB.HE
Cargotec Corporation;CGCBV.HE
Orion Oyj;ORNBV.HE
Wartsila Oyj Abp;WRT1V.HE
Neles Oyj;NELES.HE
Sampo Oyj;SAMPO.HE
KONE Oyj;KNEBV.HE
Konecranes Plc;KCR.HE
Metsa Board Oyj;METSB.HE
Telia Company AB;TELIA1.HE 
Neste Oyj;NESTE.HE
Nokian Renkaat Oyj;TYRES.HE
YIT Oyj;YTY1V.HE
Sanoma Oyj;SAA1V.HE
PKC Group Oyj;PKC1V.HE
Suominen Oyj;SUY1V.HE
Stockmann Oyj ABP;STCBV.HE
Ilkka-Yhtymä Oyj;ILK1S.HE
F-Secure Oyj;FSC1V.HE
Citycon Oyj;CTY1S.HE
BasWare Oyj;BAS1V.HE
Alma Media Oyj;ALN1V.HE
Consti Yhtiöt Oyj;CONSTI.HE
Oriola Oyj;OKDAV.HE
Detection Technology Oyj;DETEC.HE
Lassila & Tikanoja Oyj;LAT1V.HE
Orion Oyj;ORNAV.HE
Verkkokauppa.com Oyj;VERK.HE
SSAB AB;SSABBH.HE
Telia Company AB;TLS1V.HE
Raisio plc;RAIKV.HE
UPM-Kymmene Oyj;UPM1V.HE
